,país,gênero,altura,peso,comida fav.,programa fav.,esporte fav.
1452,EUA,F,180,95,Pizza,Friends,Boliche
1453,EUA,F,176,75,Tacos,Chaves,Futebol
1454,EUA,F,196,115,Vatapá,Chicago Fire,Luta Livre
1455,EUA,F,184,85,Pizza,Law and Order,MMA
1456,Brasil,F,172,90,Hummus,Law and Order,Futebol
1457,EUA,F,188,80,Hummus,Jaspion,Natação
1458,Brasil,F,184,90,Arroz Trop.,A Casa de Papel,MMA
1459,Brasil,M,192,85,Acarajé,Friends,Luta Livre
1460,EUA,F,188,90,Hamburguer,Narcos,Basquete
1461,Brasil,M,196,90,Torta de Maçã,Jeopardy,Natação
1462,EUA,M,180,85,Bagel,Chicago Fire,Futebol Am.
1463,Brasil,M,204,115,Hamburguer,Jaspion,Basquete
1464,EUA,M,204,110,Feijoada,Law and Order,Atletismo
1465,Brasil,F,200,75,Pizza,Jeopardy,Futebol Am.
1466,EUA,M,184,105,Pizza,Cops,Boxe
1467,Brasil,F,208,80,Hamburguer,A Casa de Papel,Natação
1468,Brasil,F,192,90,Acarajé,Family Feud,Basquete
1469,Brasil,F,180,85,Bagel,A Usurpadora,Basquete
1470,EUA,M,200,115,Hamburguer,A Casa de Papel,MMA
1471,EUA,F,172,80,Pizza,WWE Smackdown,Basquete
1472,Brasil,M,208,90,Bagel,A Casa de Papel,MMA
1473,Brasil,M,176,110,Feijoada,Law and Order,Atletismo
1474,Brasil,F,184,95,Acarajé,Chaves,MMA
1475,Brasil,F,176,75,Clam Chowder,Narcos,Atletismo
1476,EUA,F,180,60,Hamburguer,Cops,Futebol
1477,Brasil,F,200,90,Pizza,Friends,Basebol
1478,Brasil,F,184,115,Churrasco,Chaves,Futebol
1479,EUA,F,196,100,Feijoada,WWE Smackdown,Basebol
1480,EUA,M,180,110,Hamburguer,Law and Order,Basquete
1481,Brasil,F,208,75,Pizza,Friends,Luta Livre
1482,Brasil,F,184,100,Churrasco,Jaspion,Vôlei
1483,EUA,F,180,75,Pizza,A Usurpadora,Natação
1484,EUA,F,184,80,Tacos,Jaspion,Boxe
1485,Brasil,M,204,100,Churrasco,A Casa de Papel,MMA
1486,Brasil,M,196,115,Pizza,Law and Order,Boxe
1487,Brasil,F,184,95,Hummus,Jeopardy,Atletismo
1488,Brasil,M,184,100,Acarajé,Chicago Fire,Atletismo
1489,Brasil,M,188,75,Feijoada,Law and Order,MMA
1490,EUA,M,200,105,Clam Chowder,A Casa de Papel,Basquete
1491,Brasil,M,200,75,Clam Chowder,Narcos,Basquete
1492,Brasil,M,200,70,Bagel,Friends,Luta Livre
1493,EUA,M,180,95,Pizza,Jeopardy,Boliche
1494,EUA,M,188,105,Hummus,WWE Smackdown,Natação
1495,Brasil,F,184,70,Tacos,Narcos,Natação
1496,Brasil,M,184,90,Bagel,Chaves,Atletismo
1497,EUA,F,172,90,Hamburguer,Narcos,Basquete
1498,Brasil,M,180,80,Hummus,Narcos,Futebol
1499,Brasil,F,164,100,Bagel,Family Feud,Atletismo
1500,Brasil,M,200,100,Pizza,Law and Order,Futebol
1501,EUA,M,200,120,Hamburguer,Chicago Fire,Boxe
1502,Brasil,F,188,75,Feijoada,Chicago Fire,Boliche
1503,Brasil,M,188,75,Hummus,Chaves,Futebol
1504,Brasil,F,180,80,Feijoada,Chaves,Futebol
1505,EUA,M,184,115,Hummus,Chicago Fire,MMA
1506,EUA,M,180,105,Bagel,Family Feud,Boxe
1507,EUA,M,180,110,Churrasco,Law and Order,Basebol
1508,Brasil,M,200,95,Hummus,Narcos,Luta Livre
1509,Brasil,M,192,75,Feijoada,Narcos,Esqui
1510,EUA,F,164,80,Bagel,A Usurpadora,Basquete
1511,EUA,M,192,95,Feijoada,WWE Smackdown,Basquete
1512,EUA,M,204,105,Pizza,WWE Smackdown,Futebol Am.
1513,Brasil,F,200,100,Bagel,Friends,Atletismo
1514,Brasil,M,188,70,Bagel,A Casa de Papel,Basquete
1515,EUA,F,180,115,Feijoada,Narcos,Futebol Am.
1516,Brasil,F,172,75,Churrasco,A Usurpadora,Futebol de Salão
1517,Brasil,F,204,120,Pizza,Chaves,Vôlei
1518,EUA,M,204,95,Pizza,Law and Order,Boxe
1519,Brasil,F,200,65,Feijoada,Chicago Fire,Vôlei
1520,Brasil,M,192,95,Churrasco,Law and Order,Boliche
1521,EUA,M,176,115,Hamburguer,Law and Order,Basquete
1522,Brasil,M,176,100,Clam Chowder,Narcos,Futebol
1523,Brasil,M,196,60,Pizza,Chicago Fire,Basebol
1524,EUA,M,168,115,Pizza,A Usurpadora,Luta Livre
1525,EUA,M,184,95,Churrasco,Family Feud,Futebol Am.
1526,EUA,F,188,90,Hummus,Family Feud,MMA
1527,Brasil,M,188,100,Churrasco,A Usurpadora,Natação
1528,Brasil,F,184,85,Clam Chowder,A Usurpadora,MMA
1529,EUA,M,180,105,Clam Chowder,A Casa de Papel,Basquete
1530,EUA,F,180,105,Hummus,A Casa de Papel,Luta Livre
1531,EUA,M,180,85,Arroz Trop.,Chicago Fire,Basebol
1532,EUA,M,176,120,Hummus,Family Feud,Boliche
1533,Brasil,F,196,65,Churrasco,Chicago Fire,Atletismo
1534,EUA,M,192,110,Bagel,A Grande Família,Boliche
1535,Brasil,F,188,70,Pizza,Law and Order,Atletismo
1536,Brasil,M,192,90,Churrasco,Jaspion,MMA
1537,Brasil,M,180,105,Hamburguer,Chicago Fire,Basquete
1538,Brasil,F,188,75,Feijoada,WWE Smackdown,Boliche
1539,EUA,F,176,85,Hamburguer,Narcos,Futebol
1540,EUA,F,196,95,Pizza,Friends,Basquete
1541,Brasil,M,192,95,Arroz Trop.,Jaspion,Natação
1542,Brasil,F,192,55,Feijoada,Jeopardy,Atletismo
1543,Brasil,M,192,100,Tacos,WWE Smackdown,MMA
1544,Brasil,M,196,105,Clam Chowder,A Usurpadora,MMA
1545,EUA,F,176,100,Hamburguer,Chicago Fire,MMA
1546,EUA,M,188,105,Hummus,Narcos,Futebol
1547,Brasil,M,196,85,Bagel,Narcos,Futebol
1548,EUA,M,188,110,Acarajé,Chicago Fire,Natação
1549,EUA,M,192,115,Churrasco,WWE Smackdown,Basebol
1550,Brasil,F,188,90,Pizza,Narcos,Futebol
1551,EUA,M,192,105,Pizza,Friends,MMA
1552,Brasil,F,168,75,Churrasco,A Usurpadora,Basquete
1553,Brasil,F,176,100,Acarajé,Narcos,Atletismo
1554,EUA,F,204,105,Arroz Trop.,Narcos,Basebol
1555,Brasil,M,176,90,Arroz Trop.,A Casa de Papel,Boxe
1556,Brasil,M,196,80,Arroz Trop.,Narcos,MMA
1557,Brasil,M,188,110,Pizza,Friends,Futebol
1558,EUA,M,200,80,Tacos,Law and Order,Futebol Am.
1559,Brasil,M,180,90,Churrasco,A Usurpadora,Basquete
1560,EUA,F,184,85,Pizza,WWE Smackdown,MMA
1561,Brasil,F,188,100,Churrasco,A Casa de Papel,Boxe
1562,Brasil,F,196,95,Hummus,Chicago Fire,Boxe
1563,EUA,M,184,100,Feijoada,Law and Order,Boxe
1564,EUA,F,188,80,Feijoada,Law and Order,Luta Livre
1565,Brasil,M,196,90,Pizza,Chaves,Basquete
1566,Brasil,F,192,95,Feijoada,Law and Order,Natação
1567,Brasil,F,188,75,Acarajé,A Casa de Papel,Basquete
1568,Brasil,M,192,65,Tacos,Jaspion,Boxe
1569,Brasil,F,188,60,Acarajé,WWE Smackdown,MMA
1570,Brasil,M,172,95,Churrasco,Law and Order,Basquete
1571,Brasil,M,180,75,Clam Chowder,Jaspion,Atletismo
1572,Brasil,F,200,85,Clam Chowder,A Casa de Papel,Atletismo
1573,EUA,M,200,120,Hamburguer,Cops,Boxe
1574,Brasil,M,188,90,Hummus,Narcos,Atletismo
1575,Brasil,M,184,90,Acarajé,Chaves,Futebol
1576,EUA,M,168,105,Hamburguer,Jeopardy,Basquete
1577,Brasil,F,184,100,Arroz Trop.,A Usurpadora,Vôlei
1578,Brasil,F,188,70,Churrasco,Jaspion,Boliche
1579,Brasil,M,192,75,Churrasco,Law and Order,Boxe
1580,EUA,M,176,85,Pizza,Friends,Futebol Am.
1581,EUA,F,176,120,Tacos,Cops,MMA
1582,Brasil,M,176,90,Acarajé,Jaspion,Natação
1583,Brasil,F,172,95,Pizza,Jeopardy,Boxe
1584,EUA,M,176,110,Pizza,Narcos,Basebol
1585,Brasil,M,200,100,Churrasco,Law and Order,Boliche
1586,Brasil,M,180,90,Hamburguer,Chaves,MMA
1587,Brasil,F,184,90,Bagel,Narcos,Natação
1588,Brasil,M,200,125,Acarajé,A Casa de Papel,Atletismo
1589,Brasil,M,192,90,Hummus,WWE Smackdown,Futebol
1590,Brasil,M,196,100,Hummus,A Casa de Papel,Boxe
1591,EUA,M,192,105,Torta de Maçã,Law and Order,Boxe
1592,Brasil,M,180,85,Pizza,A Casa de Papel,Luta Livre
1593,Brasil,M,188,105,Churrasco,A Casa de Papel,Futebol de Salão
1594,Brasil,M,184,80,Vatapá,A Casa de Papel,Vôlei
1595,EUA,M,180,100,Hummus,Chicago Fire,Natação
1596,Brasil,M,192,85,Vatapá,Friends,Basquete
1597,EUA,F,180,95,Hamburguer,A Usurpadora,Boliche
1598,EUA,F,196,85,Pizza,Jeopardy,Basquete
1599,Brasil,F,188,80,Pizza,Friends,Basquete
1600,Brasil,F,176,105,Feijoada,Jaspion,MMA
1601,EUA,M,172,100,Hummus,Law and Order,Atletismo
1602,EUA,F,188,75,Pizza,Narcos,Atletismo
1603,EUA,F,188,75,Churrasco,Law and Order,Boliche
1604,EUA,M,204,105,Churrasco,Chicago Fire,Luta Livre
1605,Brasil,F,184,100,Acarajé,A Grande Família,Boxe
1606,EUA,M,184,95,Hummus,Jeopardy,Futebol Am.
1607,Brasil,M,196,100,Feijoada,A Casa de Papel,Futebol de Salão
1608,EUA,F,192,120,Hamburguer,A Usurpadora,MMA
1609,EUA,F,192,110,Hamburguer,Friends,Basquete
1610,Brasil,F,188,90,Clam Chowder,Jaspion,Boliche
1611,Brasil,F,192,65,Pizza,Cops,Boxe
1612,Brasil,F,192,100,Arroz Trop.,Family Feud,Boxe
1613,Brasil,F,196,100,Pizza,A Usurpadora,Futebol
1614,EUA,M,196,100,Bagel,A Grande Família,Basquete
1615,Brasil,M,200,85,Churrasco,Chicago Fire,Natação
1616,EUA,F,176,85,Bagel,Law and Order,Basquete
1617,Brasil,F,164,105,Pizza,A Usurpadora,MMA
1618,Brasil,F,200,105,Pizza,Chaves,Natação
1619,Brasil,F,184,110,Arroz Trop.,Narcos,Atletismo
1620,EUA,F,176,100,Churrasco,Law and Order,Natação
1621,Brasil,M,176,75,Feijoada,Narcos,MMA
1622,Brasil,M,196,70,Acarajé,Law and Order,Atletismo
1623,EUA,M,176,120,Torta de Maçã,Law and Order,Esqui
1624,Brasil,F,188,80,Acarajé,Friends,MMA
1625,EUA,F,204,100,Pizza,Friends,Esqui
1626,EUA,M,180,100,Hummus,Narcos,Boxe
1627,EUA,M,196,100,Hamburguer,WWE Smackdown,Atletismo
1628,EUA,F,192,110,Arroz Trop.,Chicago Fire,Atletismo
1629,Brasil,M,192,100,Feijoada,A Usurpadora,Vôlei
1630,EUA,F,180,100,Vatapá,Family Feud,Vôlei
1631,Brasil,F,188,75,Pizza,Law and Order,Vôlei
1632,EUA,M,172,95,Clam Chowder,Jaspion,Boliche
1633,Brasil,F,192,70,Bagel,Friends,Futebol
1634,Brasil,M,188,85,Feijoada,Chaves,Basquete
1635,EUA,F,208,105,Torta de Maçã,Chicago Fire,MMA
1636,EUA,F,176,85,Hamburguer,Chicago Fire,MMA
1637,EUA,F,172,100,Hummus,A Casa de Papel,Boliche
1638,EUA,F,200,90,Churrasco,WWE Smackdown,Boliche
1639,EUA,F,172,90,Tacos,Chicago Fire,Vôlei
1640,Brasil,F,184,95,Bagel,Friends,Luta Livre
1641,Brasil,M,204,100,Churrasco,Narcos,Luta Livre
1642,Brasil,M,184,85,Hummus,Chaves,Luta Livre
1643,Brasil,F,180,85,Churrasco,WWE Smackdown,Boliche
1644,EUA,M,188,120,Bagel,Chicago Fire,Futebol Am.
1645,Brasil,M,208,70,Pizza,Jaspion,Futebol Am.
1646,EUA,M,196,115,Arroz Trop.,Jeopardy,Atletismo
1647,EUA,M,192,105,Tacos,A Usurpadora,Basebol
1648,EUA,F,200,90,Feijoada,Narcos,Basquete
1649,EUA,F,172,95,Hummus,Friends,Boxe
1650,Brasil,M,176,85,Bagel,Law and Order,Natação
1651,Brasil,M,172,70,Churrasco,A Usurpadora,MMA
1652,EUA,M,200,105,Churrasco,Jeopardy,Atletismo
1653,Brasil,F,196,105,Churrasco,Friends,Natação
1654,Brasil,M,204,100,Acarajé,Law and Order,Futebol Am.
1655,Brasil,F,192,90,Acarajé,Chaves,Atletismo
1656,EUA,M,196,95,Arroz Trop.,WWE Smackdown,Boxe
1657,Brasil,F,188,115,Tacos,Chicago Fire,Atletismo
1658,Brasil,F,168,100,Arroz Trop.,Law and Order,Basquete
1659,Brasil,F,192,85,Clam Chowder,Friends,Natação
1660,EUA,F,188,100,Feijoada,WWE Smackdown,Futebol Am.
1661,EUA,F,176,100,Hamburguer,Chicago Fire,Basquete
1662,EUA,M,204,95,Pizza,Chicago Fire,Boxe
1663,EUA,M,192,110,Clam Chowder,Friends,Esqui
1664,Brasil,F,184,110,Hamburguer,A Casa de Papel,MMA
1665,Brasil,M,188,100,Arroz Trop.,A Usurpadora,Boliche
1666,EUA,F,184,70,Churrasco,Friends,Boliche
1667,EUA,F,188,90,Hummus,WWE Smackdown,Atletismo
1668,Brasil,F,192,80,Churrasco,Chicago Fire,MMA
1669,Brasil,M,200,105,Hamburguer,Chicago Fire,Boxe
1670,EUA,M,196,95,Hummus,A Casa de Papel,Basebol
1671,EUA,F,180,75,Hummus,Chicago Fire,Atletismo
1672,Brasil,F,188,55,Pizza,Jaspion,Atletismo
1673,Brasil,M,196,75,Hamburguer,Jeopardy,Basquete
1674,EUA,F,176,90,Vatapá,Narcos,Boxe
1675,Brasil,M,180,70,Arroz Trop.,Narcos,Boxe
1676,Brasil,F,192,105,Pizza,A Casa de Papel,Futebol de Salão
1677,Brasil,F,192,55,Arroz Trop.,A Casa de Papel,Boxe
1678,EUA,F,176,60,Pizza,Narcos,Esqui
1679,EUA,M,184,115,Clam Chowder,Family Feud,Boliche
1680,Brasil,M,188,105,Feijoada,A Casa de Papel,Vôlei
1681,Brasil,M,204,85,Hamburguer,Friends,Basebol
1682,Brasil,F,192,95,Churrasco,Jaspion,Natação
1683,EUA,F,184,85,Feijoada,WWE Smackdown,Basquete
1684,EUA,M,188,85,Clam Chowder,Narcos,Boxe
1685,Brasil,F,184,105,Arroz Trop.,A Usurpadora,Boxe
1686,EUA,F,188,90,Vatapá,Jaspion,Futebol Am.
1687,EUA,M,200,125,Hamburguer,A Casa de Papel,Boliche
1688,Brasil,F,196,100,Hummus,Jaspion,Futebol
1689,EUA,F,192,100,Bagel,WWE Smackdown,Boxe
1690,EUA,F,172,90,Bagel,Chicago Fire,Boxe
1691,Brasil,M,168,80,Pizza,Narcos,Natação
1692,Brasil,F,184,70,Pizza,A Usurpadora,Boxe
1693,EUA,M,180,120,Bagel,Law and Order,Natação
1694,EUA,F,196,105,Bagel,WWE Smackdown,Natação
1695,EUA,M,184,85,Hamburguer,Law and Order,Natação
1696,Brasil,M,180,75,Arroz Trop.,Narcos,Boxe
1697,EUA,M,180,100,Arroz Trop.,Law and Order,Futebol Am.
1698,Brasil,F,204,105,Pizza,Law and Order,Basquete
1699,Brasil,F,188,65,Churrasco,WWE Smackdown,Basquete
1700,EUA,M,188,85,Tacos,Friends,Boxe
1701,Brasil,F,188,80,Tacos,Narcos,Basquete
1702,Brasil,F,204,105,Bagel,Friends,Boxe
1703,Brasil,M,188,100,Churrasco,A Usurpadora,Vôlei
1704,Brasil,F,180,115,Clam Chowder,Friends,MMA
1705,EUA,M,192,110,Churrasco,Law and Order,Futebol
1706,EUA,F,188,80,Torta de Maçã,Chicago Fire,Basebol
1707,EUA,M,188,100,Pizza,Chicago Fire,Futebol Am.
1708,EUA,F,172,100,Hamburguer,Friends,Natação
1709,Brasil,M,180,85,Hamburguer,Jeopardy,Natação
1710,EUA,M,196,115,Bagel,Law and Order,Boliche
1711,Brasil,M,192,85,Acarajé,Jaspion,Basebol
1712,Brasil,M,200,105,Churrasco,A Grande Família,Boxe
1713,EUA,M,204,90,Hummus,A Casa de Papel,Atletismo
1714,EUA,M,180,95,Hummus,A Casa de Papel,Futebol
1715,Brasil,F,180,85,Hummus,Narcos,Basquete
1716,Brasil,M,188,80,Clam Chowder,Friends,Futebol
1717,EUA,M,188,95,Feijoada,WWE Smackdown,Luta Livre
1718,EUA,F,204,95,Pizza,Chaves,Luta Livre
1719,EUA,M,184,115,Tacos,Jeopardy,Atletismo
1720,Brasil,F,188,80,Hamburguer,A Casa de Papel,Basquete
1721,EUA,F,184,100,Tacos,Law and Order,MMA
1722,Brasil,F,164,110,Acarajé,Chicago Fire,Atletismo
1723,Brasil,F,196,85,Hamburguer,WWE Smackdown,Luta Livre
1724,EUA,F,196,85,Tacos,Law and Order,Basquete
1725,Brasil,F,188,65,Arroz Trop.,A Usurpadora,MMA
1726,EUA,M,196,80,Arroz Trop.,Law and Order,Atletismo
1727,Brasil,F,192,80,Hummus,Chicago Fire,Atletismo
1728,EUA,F,192,115,Hummus,Chicago Fire,Luta Livre
1729,EUA,M,172,90,Clam Chowder,A Casa de Papel,Atletismo
1730,EUA,M,188,100,Pizza,WWE Smackdown,Luta Livre
1731,Brasil,M,192,75,Clam Chowder,Chicago Fire,Basquete
1732,EUA,M,176,110,Churrasco,A Casa de Papel,Basquete
1733,EUA,M,204,100,Clam Chowder,Law and Order,Atletismo
1734,EUA,F,196,105,Clam Chowder,Jeopardy,Atletismo
1735,EUA,F,184,85,Acarajé,Narcos,Atletismo
1736,Brasil,F,200,75,Feijoada,Narcos,Natação
1737,Brasil,M,184,75,Bagel,Friends,Atletismo
1738,Brasil,M,188,85,Arroz Trop.,Law and Order,Basquete
1739,Brasil,F,200,65,Feijoada,Friends,Boliche
1740,EUA,F,208,90,Tacos,Chicago Fire,MMA
1741,EUA,F,172,75,Bagel,Law and Order,Basebol
1742,EUA,M,196,95,Churrasco,Chaves,Atletismo
1743,EUA,M,204,105,Churrasco,Cops,Luta Livre
1744,Brasil,M,200,75,Hummus,Friends,Futebol Am.
1745,Brasil,F,184,110,Pizza,Narcos,MMA
1746,Brasil,M,192,80,Churrasco,Jeopardy,Boliche
1747,Brasil,M,208,85,Feijoada,A Casa de Papel,Vôlei
1748,Brasil,F,172,95,Pizza,A Casa de Papel,Futebol
1749,Brasil,M,204,75,Churrasco,A Usurpadora,Boliche
1750,EUA,F,188,100,Pizza,Friends,Boliche
1751,EUA,M,172,115,Clam Chowder,Friends,Atletismo
1752,Brasil,M,192,95,Arroz Trop.,Family Feud,Basquete
1753,EUA,M,192,85,Feijoada,Chicago Fire,Basebol
1754,EUA,F,168,85,Feijoada,Family Feud,Esqui
1755,EUA,F,196,105,Churrasco,Law and Order,MMA
1756,EUA,F,188,95,Hummus,A Usurpadora,Boxe
1757,Brasil,M,196,100,Acarajé,Narcos,Basquete
1758,EUA,F,180,95,Bagel,Family Feud,Boliche
1759,Brasil,F,176,110,Hamburguer,A Usurpadora,Natação
1760,Brasil,F,188,90,Clam Chowder,Narcos,Futebol de Salão
1761,Brasil,F,188,90,Feijoada,Narcos,Futebol
1762,Brasil,F,188,100,Clam Chowder,Friends,Boliche
1763,Brasil,M,184,120,Feijoada,A Grande Família,Natação
1764,Brasil,M,188,80,Arroz Trop.,Narcos,Basquete
1765,EUA,F,180,100,Churrasco,Jeopardy,Basebol
1766,Brasil,M,184,100,Feijoada,A Usurpadora,Boxe
1767,Brasil,F,184,60,Hummus,Friends,Atletismo
1768,Brasil,M,188,60,Churrasco,Narcos,Boxe
1769,Brasil,M,180,90,Arroz Trop.,WWE Smackdown,Futebol de Salão
1770,EUA,M,180,95,Acarajé,Chicago Fire,Basebol
1771,Brasil,F,176,80,Clam Chowder,A Usurpadora,Atletismo
1772,Brasil,F,200,85,Feijoada,A Usurpadora,Futebol de Salão
1773,EUA,M,188,120,Hummus,Chaves,Luta Livre
1774,EUA,F,192,95,Hamburguer,Family Feud,Futebol
1775,EUA,F,172,100,Arroz Trop.,A Casa de Papel,Atletismo
1776,Brasil,M,172,75,Hummus,Narcos,Boxe
1777,EUA,F,204,105,Feijoada,A Usurpadora,Boxe
1778,EUA,F,188,75,Churrasco,A Usurpadora,Boliche
1779,Brasil,M,172,100,Hummus,Law and Order,Futebol de Salão
1780,EUA,F,192,80,Vatapá,Friends,Basquete
1781,Brasil,M,200,110,Bagel,A Grande Família,Natação
1782,EUA,F,180,90,Arroz Trop.,Law and Order,Luta Livre
1783,Brasil,M,188,85,Churrasco,A Usurpadora,Vôlei
1784,EUA,M,192,115,Torta de Maçã,Narcos,Luta Livre
1785,Brasil,F,180,75,Bagel,Family Feud,Natação
1786,Brasil,M,172,115,Bagel,A Usurpadora,Basquete
1787,EUA,F,180,90,Feijoada,Family Feud,Basebol
1788,Brasil,F,196,70,Acarajé,A Casa de Papel,Boxe
1789,EUA,M,176,110,Arroz Trop.,WWE Smackdown,Futebol Am.
1790,EUA,M,200,110,Feijoada,Jeopardy,Boliche
1791,Brasil,M,196,90,Feijoada,Chaves,Natação
1792,EUA,M,192,110,Churrasco,Narcos,Luta Livre
1793,Brasil,M,188,100,Bagel,Chicago Fire,MMA
1794,Brasil,F,176,105,Bagel,A Casa de Papel,Futebol
1795,Brasil,F,180,90,Tacos,A Usurpadora,Futebol
1796,Brasil,F,204,90,Churrasco,Friends,Natação
1797,Brasil,F,168,115,Bagel,A Casa de Papel,Basquete
1798,EUA,F,204,80,Feijoada,Family Feud,Natação
1799,Brasil,M,184,75,Hamburguer,Chicago Fire,MMA
1800,Brasil,M,192,95,Clam Chowder,Friends,Boliche
1801,EUA,F,196,110,Hummus,Jeopardy,Boliche
1802,Brasil,F,188,65,Acarajé,Chaves,Futebol
1803,Brasil,M,184,90,Pizza,A Usurpadora,Basquete
1804,EUA,F,188,115,Hamburguer,WWE Smackdown,Boliche
1805,EUA,M,192,105,Hamburguer,Family Feud,Natação
1806,Brasil,F,188,75,Pizza,A Casa de Papel,Boliche
1807,Brasil,F,188,100,Acarajé,A Usurpadora,Atletismo
1808,Brasil,F,192,85,Acarajé,Friends,Atletismo
1809,Brasil,M,192,105,Pizza,Chaves,MMA
1810,EUA,F,180,80,Feijoada,Chicago Fire,Basquete
1811,Brasil,F,196,90,Hamburguer,Narcos,MMA
1812,Brasil,M,172,80,Pizza,A Casa de Papel,Natação
1813,EUA,M,196,115,Tacos,Friends,Basquete
1814,Brasil,M,196,85,Hummus,Jaspion,Boxe
1815,EUA,F,204,105,Churrasco,Law and Order,MMA
1816,Brasil,F,176,95,Hamburguer,A Usurpadora,MMA
1817,Brasil,M,180,85,Acarajé,WWE Smackdown,Boliche
1818,EUA,F,184,95,Hummus,WWE Smackdown,Atletismo
1819,Brasil,F,172,80,Feijoada,Chicago Fire,Boxe
1820,EUA,F,188,90,Hamburguer,Chicago Fire,Boxe
1821,Brasil,F,200,115,Hamburguer,Chicago Fire,Luta Livre
1822,Brasil,M,200,85,Feijoada,Jaspion,Boliche
1823,Brasil,F,176,85,Hamburguer,Chicago Fire,Atletismo
1824,EUA,F,184,85,Tacos,Friends,Basquete
1825,Brasil,F,204,80,Arroz Trop.,Law and Order,Atletismo
1826,Brasil,F,192,70,Arroz Trop.,A Casa de Papel,Futebol
1827,EUA,M,208,110,Feijoada,WWE Smackdown,Atletismo
1828,EUA,F,192,100,Churrasco,A Casa de Papel,Futebol Am.
1829,Brasil,F,192,75,Hamburguer,Jaspion,Futebol Am.
1830,Brasil,F,180,125,Hummus,Chaves,Boxe
1831,Brasil,M,196,85,Hamburguer,Jaspion,Atletismo
1832,EUA,F,180,105,Hummus,A Casa de Papel,Boxe
1833,EUA,M,192,100,Pizza,Narcos,Boxe
1834,Brasil,F,172,100,Hummus,A Usurpadora,MMA
1835,Brasil,F,196,120,Acarajé,A Usurpadora,Futebol Am.
1836,Brasil,F,204,85,Feijoada,Jaspion,Natação
1837,EUA,F,172,105,Clam Chowder,Jeopardy,Luta Livre
1838,Brasil,F,180,90,Churrasco,Narcos,Boxe
1839,Brasil,M,192,105,Bagel,A Casa de Papel,Boxe
1840,Brasil,M,192,100,Churrasco,Narcos,Luta Livre
1841,EUA,M,208,110,Hummus,A Casa de Papel,Boliche
1842,Brasil,M,208,105,Bagel,Chicago Fire,Basebol
1843,Brasil,M,192,95,Hamburguer,Law and Order,Natação
1844,Brasil,M,192,125,Hamburguer,Chicago Fire,Basquete
1845,Brasil,M,196,100,Feijoada,Friends,Atletismo
1846,EUA,M,180,100,Churrasco,Family Feud,Basquete
1847,EUA,M,196,120,Clam Chowder,Narcos,Atletismo
1848,Brasil,M,192,95,Hamburguer,Narcos,Basquete
1849,EUA,M,172,120,Pizza,Chicago Fire,Futebol Am.
1850,Brasil,M,188,80,Hummus,Narcos,Boxe
1851,Brasil,F,184,90,Hamburguer,Family Feud,Boliche
1852,EUA,F,200,80,Churrasco,Family Feud,Boliche
1853,EUA,F,188,80,Bagel,A Usurpadora,Esqui
1854,EUA,F,196,75,Bagel,Law and Order,Basquete
1855,Brasil,F,180,80,Churrasco,A Usurpadora,Basquete
1856,Brasil,F,204,85,Churrasco,A Usurpadora,Boxe
1857,EUA,F,184,95,Hamburguer,Family Feud,Atletismo
1858,Brasil,F,172,75,Hamburguer,Family Feud,Atletismo
1859,Brasil,M,184,75,Churrasco,Friends,Natação
1860,EUA,M,192,100,Bagel,WWE Smackdown,Luta Livre
1861,EUA,M,184,70,Hamburguer,Narcos,Basebol
1862,Brasil,F,196,90,Hamburguer,Friends,Boliche
1863,Brasil,M,204,100,Pizza,Chaves,Vôlei
1864,Brasil,F,172,70,Churrasco,Jeopardy,Basquete
1865,Brasil,M,200,110,Churrasco,WWE Smackdown,Basquete
1866,Brasil,M,188,90,Feijoada,Law and Order,Atletismo
1867,EUA,F,188,110,Hummus,Friends,Basquete
1868,EUA,F,208,85,Hamburguer,WWE Smackdown,Atletismo
1869,Brasil,M,192,80,Hummus,Jaspion,Luta Livre
1870,EUA,F,204,90,Churrasco,Chaves,Boliche
1871,Brasil,F,196,80,Churrasco,A Usurpadora,Atletismo
1872,Brasil,F,196,70,Feijoada,Narcos,Futebol
1873,Brasil,M,180,95,Hamburguer,WWE Smackdown,MMA
1874,Brasil,F,176,125,Feijoada,A Usurpadora,Futebol Am.
1875,EUA,F,188,80,Pizza,Chicago Fire,Luta Livre
1876,Brasil,M,180,85,Acarajé,Narcos,MMA
1877,Brasil,M,192,95,Vatapá,Narcos,Natação
1878,Brasil,M,180,120,Arroz Trop.,A Usurpadora,Boliche
1879,Brasil,F,188,95,Churrasco,A Usurpadora,Boliche
1880,Brasil,M,168,105,Pizza,A Casa de Papel,Basquete
1881,EUA,M,204,80,Hamburguer,Chicago Fire,Boxe
1882,Brasil,M,172,100,Arroz Trop.,Friends,Natação
1883,EUA,F,196,85,Clam Chowder,A Usurpadora,Atletismo
1884,EUA,M,192,90,Clam Chowder,Cops,Basquete
1885,EUA,M,176,105,Pizza,Jaspion,Luta Livre
1886,EUA,F,208,105,Churrasco,Chaves,Atletismo
1887,EUA,F,188,100,Hummus,Jeopardy,Esqui
1888,EUA,F,192,90,Pizza,WWE Smackdown,Boliche
1889,EUA,M,168,105,Hummus,WWE Smackdown,Boliche
1890,Brasil,F,180,95,Pizza,Jaspion,Boliche
1891,EUA,F,184,90,Pizza,WWE Smackdown,Basebol
1892,Brasil,M,200,75,Churrasco,A Casa de Papel,Futebol
